"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"100001","Cantagallo","1587","1501","3088"
"100002","Carmignano","7183","7317","14500"
"100003","Montemurlo","9507","9662","19169"
"100004","Poggio a Caiano","4824","5084","9908"
"100005","Prato","98099","100228","198327"
"100006","Vaiano","4846","5119","9965"
"100007","Vernio","3087","3108","6195"
